track_name_studio,track_name_id
? (Fragezeichen),180
?,179
99 Luftballons,175
99 Luftballons - Single Version,176
Du kennst die Liebe nicht - Single Version,3762
Du kennst die Liebe nicht (Single Version),3761
Du kennst die Liebe nicht,3760
"Irgendwie, Irgendwo, Irgendwann - Special 12"" Dance Mix",7006
"Irgendwie, irgendwo, irgendwann",7007
"Irgendwie, irgendwo, irgendwann (Special 12"" Dance Mix)",7008
Leuchtturm,7997
Nur geträumt,9949
Rette mich,11183
Tokyo,15022
Unerkannt durchs Märchenland,15418
Du bist so gut für mich,3759
Es wird schon weitergehn,3977
Ganz Oben,4667
Ganz oben,4670
Ganz viel Zeit,4671
Geheimnis,4685
Ich bin hyperaktiv,6693
Indianer,6928
In meinem Leben,6872
Made in Germany,8695
Nachts wenn es warm ist,9538
Noch einmal,9863
Satellitenstadt,11701
Schmerzen,11779
SchönSchönSchön,11786
Tanz auf dem Vulkan,13625
Weisses Schiff,15865
Wir sind wahr,16337
Wunder gescheh'n,16474
Zaubertrick,16793
Zusammen,16802
Dig - Everything and Nothing Remix,3253
Dig - Future Evolution Remix,3254
Dig,3252
Dig - Radio Edit,3255
Not Falling,9876
Not Falling - Demo,9877
World So Cold,16447
-1,63
Carry - First Version,2219
Carry,2216
Carry (Demo),2217
Carry - Second Version,2220
Carry - Demo,2218
Celestial (Signal Fills the Void),2298
Celestial (The tower),2299
False Light - Carry Edit,4175
False Light - Demo,4176
False Light,4172
False Light (Demo),4173
False Light (The Oktopus Remix),4174
Ghost Key - Alternate Demo Version,4753
Ghost Key,4751
Ghost Key (Alternate Demo Version),4752
Holy Tears (Thomas Dimuzio Remix),5733
Holy Tears - Thomas Dimuzio Remix,5734
Holy Tears,5732
Hym,5932
Hym (JK Broadrick Remix),5933
"Not in Rivers, But in Drops",9890
"Not in Rivers, But in Drops (Melvins/Lustmord Remix)",9891
"Not in Rivers, but in Drops - Melvins / Lustmord Remix",9894
"Not in Rivers, but in Drops",9893
"Not in Rivers, But in Drops - Melvins/Lustmord Remix",9892
The Beginning And The End (Venetian Snares Remix),13881
The Beginning and the End,13882
The Other,14368
The Other (James Plotkin Remix),14369
Threshold of Transformation,14870
Threshold of Transformation (Demo),14871
Threshold of Transformation - Demo,14872
Threshold Of Transformation,14869
(Untitled),48
20 Minutes / 40 Years,102
Altered Course,663
Backlit,1148
From Sinking,4589
Gentle Time,4696
Glisten,4838
Grinning Mouths,5095
Hall of the Dead,5181
Hall Of The Dead,5177
Hand Of The Host,5205
Hand of the Host,5208
In Fiction,6819
So Did We,12497
Weight,15861
Weight (Fennesz Remix),15862
Wills Dissolve - Alternate Demo Version,16316
Wills Dissolve (Alternate Demo Version),16315
1-2-3-4,69
1-2-3-4 (Radio Version),70
Astral Man (Original Chipping Norton Mix),963
Astral Man,962
A Tab in the Ocean,309
A Tab In The Ocean,308
Cast Your Fate,2256
Desolation Valley / Waves,3189
Do You Believe in Magic?,3359
Do You Believe In Magic_,3358
Do You Believe In Magic,3357
Do You Believe in Magic? (Radio Version),3360
Fidgety Queen,4282
Good Day,4959
King of Twilight,7626
King Of Twilight,7617
Man in the Moon,8789
Man In The Moon,8781
Marvellous Moses,8859
Nelly The Elephant,9592
Nelly the Elephant,9593
Nelly the Elephant (Original Chipping Norton Mix),9594
New Day Dawning,9672
"Remember The Future, Part 2 (Let it Grow)",11149
"Remember The Future, Part 2",11148
Telephone,13684
The Debate,13991
The Dream Nebula (Part 1),14002
The Dream Nebula (Part 2),14003
A Day In The Life Of A Preacher (including The Birth Of Oh Willy),200
Angel,771
Crying In The Dark / King Of Twilight,2901
Cryin' In The Dark,2896
King Of The Deep,7611
Little Boy,8138
Now,9928
"Remember the Future, Part 1",11152
"Remember the Future, Pt. 1",11153
"Remember the Future, Pt. 2",11154
Show Me the Way,12200
Show Me the Way (Original Chipping Norton Mix),12201
Summer Breeze,13226
That's Life (Original Chipping Norton Mix),13811
That's Life,13810
Time Machine,14934
What Ya Gonna Do?,15967
1+1+1 is 3,67
International Lover,6976
International Lover - Piano & A Microphone 1983 Version,6977
Muse 2 the Pharaoh,9361
Purple Rain,10872
Purple Rain - Piano & A Microphone 1983 Version,10873
Strange Relationship - Piano & A Microphone 1983 Version,13116
Strange Relationship,13115
1999,98
3121,134
Adore,391
Avalanche,998
Baby I'm a Star,1054
Computer Blue,2715
Condition of the Heart,2720
Darling Nikki,3047
Delirious,3156
"Do Me, Baby",3349
Extraordinary,4108
Family Name,4179
Free,4548
Girls & Boys,4798
I Would Die 4 U,6446
Let's Go Crazy,7976
Let's Pretend We're Married,7985
Little Red Corvette,8167
Mellow,8969
Nothing Compares 2 U,9902
One Nite Alone...,10192
Rainbow Children,10978
Raspberry Beret,11028
Satisfied,11703
Sometimes It Snows in April,12672
Take Me with U,13557
The Beautiful Ones,13877
The Other Side of the Pillow,14374
When Doves Cry,16029
Get Me Out of Here,4728
Get Me out of Here,4729
In My Mind,6830
"10,000 Light Years Ago",75
Simply Magic,12288
1000 Miles,79
A Shot at Redemption,295
A Shot At Redemption,294
Beg Beg Beg,1328
Breaking The Silence,1855
Breaking the Silence,1861
Eye of the Storm,4112
Eye Of The Storm,4110
In And Out Of Trouble,6814
In and out of Trouble,6871
In and Out of Trouble,6870
Inferno,6940
Late Night Lady,7817
Living On the Run,8199
Living On The Run,8197
Point of No Return,10678
Point Of No Return,10675
Tearing Down the Walls,13655
Tearing Down The Walls,13654
Bastard of Society,1254
Better off Alone,1403
Downtown,3644
Emergency,3930
Enemy in Me,3954
Heartbreaker,5409
It's All About Tonight,7119
Mannequin Show,8805
Redefined,11122
Shit City,12139
"Guitars, Cadillacs - 2006 Remaster",5130
"Guitars, Cadillacs",5129
Heartaches by the Number,5395
Heartaches by the Number - 2006 Remaster,5396
Honky Tonk Man,5780
Honky Tonk Man - 2006 Remaster,5781
I'll Be Gone,6478
I'll Be Gone (1981 Demo) - 2006 Remaster,6479
I'll Be Gone - 2006 Remaster,6480
I Sang Dixie,6277
I Sang Dixie (1981 Demo) - 2006 Remaster,6278
It Won't Hurt,7100
It Won't Hurt - 2006 Remaster,7102
It Won't Hurt - 1981 Demo; 2006 Remaster,7101
Little Sister,8170
Little Ways,8180
Long White Cadillac,8304
Long White Cadillac - 2006 Remaster,8305
Miner's Prayer - 1981 Demo; 2006 Remaster,9091
Miner's Prayer,9090
Miner's Prayer - 2006 Remaster,9092
"Please, Please Baby",10650
Ring of Fire - 2006 Remaster,11273
Ring of Fire,11272
Streets of Bakersfield,13142
This Drinkin' Will Kill Me - 1981 Demo; 2006 Remaster,14768
This Drinkin' Will Kill Me,14767
"1,000 Miles",68
Always Late with Your Kisses,674
A Thousand Miles from Nowhere,315
Fast as You,4217
Home of the Blues,5744
It Only Hurts When I Cry,7090
Lonesome Roads,8271
Nothing's Changed Here,9923
Since I Started Drinkin' Again,12294
Smoke Along the Track,12466
South of Cinnicinnati - 2006 Remaster,12762
The Heart That You Own,14117
This Time,14824
Two Doors Down,15305
What I Don't Know,15946
Wild Ride,16284
A Collection,194
A Collection - 1998 Remaster,195
A Few Words For The Dead,207
A Few Words for the Dead,208
Afraid of Sunlight - 1999 Remaster,397
Afraid of Sunlight - 2019 Michael Hunter Remix,398
