album_name_live,track_name_studio,artist_name_studio,track_key,difference_energy,difference_tempo,difference_speechiness,difference_dance,difference_instrumentalness,difference_valence,difference_acousticness,difference_duration,difference_overall,key_variable
So Much Shouting So Much Laughing,Whatall Is Nice,Ani DiFranco,4XmfJCDvBBsFumLfhsVh7j6950ZW6MYVTwN4l6FRFl3U,0.294,-45.438,-0.0075,0.069,0.6562,-0.001,-0.79,63173,1.8176999999999999,difference_instrumentalness
Living In Clip,Not So Soft,Ani DiFranco,39pSfP8fMhKzHlZJZQA0vX66KvqVK90iVAWNpTc43mem,-0.095,-9.53,-0.7623,0.068,0.142,0.245,0.398,86480,1.7103000000000002,difference_acousticness
Living In Clip,Fire Door,Ani DiFranco,6O1eoFDJBkwZ1VNcTN3Cay1zgOuflKpOAPTu9Ga6VJ2Z,0.5673,12.026,-0.097,0.024,0.0524,0.095,-0.639,80733,1.4747,difference_energy
So Much Shouting So Much Laughing,To the Teeth - No Walls Mixtape,Ani DiFranco,5ALdVXXmO7nHcjAWTEKNEL7ptxR2dzwBc1R3kQqKvLAH,-0.14,0.951,0.0014,-0.122,-0.1245,-0.089,-0.8939,116213,1.3708,difference_speechiness
So Much Shouting So Much Laughing,My IQ,Ani DiFranco,5TcHNz4a9bNWkuYr6j3cuX18kttv09mqZsATC7rXI2dm,0.316,-58.804,0.06,0.16,0.0001,0.003,-0.819,4386,1.3580999999999999,difference_energy
Living In Clip,Every State Line,Ani DiFranco,2HJFvUWKTSB8JUCLTdpFrR45zHbt1fMBoRLuLwtz7o99,0.125,-17.692,-0.7337,-0.166,4.99e-06,-0.13,-0.164,48533,1.3187049899999999,difference_energy
Living In Clip,Tip Toe,Ani DiFranco,5CzOjmWTvbFGlwLS972Ngh5VgFsarsBKioi28ncmtkjq,-0.137,31.699,-0.625,-0.246,0.0,0.013,0.217,667,1.238,difference_acousticness
Living In Clip,Every State Line - No Walls Mixtape,Ani DiFranco,0T1Q3N0FH3IHecwBsaWtTV45zHbt1fMBoRLuLwtz7o99,-0.101,-9.381,-0.3707,-0.29,4.99e-06,-0.364,-0.095,57626,1.22070499,difference_instrumentalness
Living In Clip,Out of Habit - No Walls Mixtape,Ani DiFranco,1GvLp6ZYqFUpL5jjViWodJ3OHr3grLAQBRajEIn2gNic,-0.086,-58.086,0.4097,-0.144,-0.0001,-0.158,-0.373,54240,1.1708,difference_speechiness
Living In Clip,Out of Habit,Ani DiFranco,7lGyWajheYtP8sKUveGjHo3OHr3grLAQBRajEIn2gNic,0.272,-58.549,0.4086,-0.103,-7.99e-06,0.034,-0.346,55200,1.16360799,difference_speechiness
