track_key,difference_energy,difference_tempo,difference_speechiness,difference_dance,difference_instrumentalness,difference_valence,difference_acousticness
7vqbxrRtbISjHHRfTuabGY6GtO52K5I6mp44WsoHxdyN,-0.079,-0.499,-0.0328,0.055,0.028,-0.041,-0.217
7vqbxrRtbISjHHRfTuabGY1eobafi8stZoy1iau1piW8,0.095,3.59,-0.0224,0.212,0.045,-0.132,-0.305
7vqbxrRtbISjHHRfTuabGY4fIm5alLJglZQGouV3oaCX,0.126,13.465,-0.0354,0.07,-0.18,-0.156,-0.526
7vqbxrRtbISjHHRfTuabGY3Sx6CcHa4BL4JS6audsYf2,0.015,0.653,-0.0374,0.164,-0.107,0.027,-0.147
7vqbxrRtbISjHHRfTuabGY5wGM0Knt4z3z6uLcFzGC4B,-0.02,8.847,-0.0403,0.142,0.037,-0.067,0.074
7vqbxrRtbISjHHRfTuabGY1GhOiBrglutzTd9dc3V6ZX,0.14,8.899,-0.0308,0.071,0.02,0.082,-0.6715
7vqbxrRtbISjHHRfTuabGY0LgkoW7HQ3YH1u7aHCON7I,-0.023,1.266,0.0046,0.015,-0.189,-0.173,-0.178
7vqbxrRtbISjHHRfTuabGY7df4qv5s71p37mSrL1HV7z,0.025,-1.869,-0.0156,0.086,0.041,-0.107,0.048
7vqbxrRtbISjHHRfTuabGY23T9Xfgo1b3FQXNBHRfe0d,-0.144,8.653,-0.0413,0.145,-0.045,0.033,0.079
53wSa9w7fqlSOAzAoZWwpV07oUqUQYFZPswW7iwmSJRy,0.058,14.425,0.0298,-0.209,-0.052,-0.589,-0.0083
53wSa9w7fqlSOAzAoZWwpV4PsDmvfL9CgG0ClnHA2ijP,0.121,24.046,0.103,-0.212,0.372,-0.561,0.1917
53wSa9w7fqlSOAzAoZWwpV6AjAKMJr1BcXTOMmRxK7UL,0.123,17.002,0.0381,-0.341,0.155,-0.67,-0.0196
53wSa9w7fqlSOAzAoZWwpV7td2TYgf7MLrAiv7UjL2oX,-0.18,9.995,0.0054,-0.192,0.179,-0.728,-0.0197
53wSa9w7fqlSOAzAoZWwpV4ifHYFrMpFJSdXRsgBPz5A,0.081,25.25,0.0527,-0.296,-0.095,-0.618,-0.017
53wSa9w7fqlSOAzAoZWwpV1hPgMQDX8qw1zMuisxdZjf,-0.237,18.577,0.0074,-0.119,-0.074,-0.742,-0.0196
53wSa9w7fqlSOAzAoZWwpV102AED0Et086Ev536Frem0,0.125,19.215,0.084,-0.218,0.382,-0.507,-0.0143
4juJw163tH0zGCptRcoTM42QBm2olAZsc7THZGOKNh3a,0.157,-2.784,0.0233,-0.117,0.0012,-0.205,-0.015
2SpFoJXWbXwQcngPviflJt2QBm2olAZsc7THZGOKNh3a,0.099,-2.695,0.0229,-0.104,0.0012,-0.259,-0.0245
3M0HBa3I012Je7qoh53uA15CtAexdmel6Bs5LOXNUbUZ,0.001,0.525,-0.0013,0.009,0.0002,-0.033,-0.0046
3M0HBa3I012Je7qoh53uA14VsV9T5I5djlzLlyFA44rS,0.007,-17.469,0.0307,-0.105,0.0001,0.012,-0.0026
3c88Z1zuocgB0JUXNV2dyf5CtAexdmel6Bs5LOXNUbUZ,0.352,1.232,0.0026,-0.161,-0.0266,0.15,-0.5584
3c88Z1zuocgB0JUXNV2dyf4VsV9T5I5djlzLlyFA44rS,0.358,-16.762,0.0346,-0.275,-0.0267,0.195,-0.5564
6oipWwDsUB0XCoZfZeRBvW5wu15zxO2EANgp5o4D4k6a,-0.248,17.628,-0.0239,-0.112,-0.0125,-0.022,0.554
6oipWwDsUB0XCoZfZeRBvW23tryMqDojI0Ki8savw3aI,0.097,7.416,-0.0132,0.242,0.0078,0.56,0.207
2BmNotNtTxHZLrYOss81RZ2KgA1vuYyaVm9Vfd9GMVXE,0.111,-7.277,0.0067,-0.153,0.012,-0.008,-0.179
2nklcPJ3YhYJfC2ibStXz96tvoKYC90r5dDZ2T0Lx0OC,0.131,-4.476,0.0214,-0.161,-0.0083,-0.491,-0.0008
2nklcPJ3YhYJfC2ibStXz91Zdf2BzPzLX0cLf0w0J6Fl,0.092,-12.663,0.0125,-0.279,-0.0146,-0.298,0.0003
2nklcPJ3YhYJfC2ibStXz92aM3KLM3dAegvS45DfkC3f,-0.408,0.345,0.0098,-0.166,-0.0385,-0.377,0.818
2nklcPJ3YhYJfC2ibStXz94huDpr8X5ZUGWVV3A7IDfX,0.114,-12.191,0.0287,-0.197,-0.0215,-0.189,0.0081
2nklcPJ3YhYJfC2ibStXz977meGysGUiB2BtQXWEzFPK,0.059,-10.621,0.0344,-0.221,-0.035,-0.525,0.0007
2nklcPJ3YhYJfC2ibStXz94JokKmIbiyDvkXRJlXPd6z,0.221,-5.25,0.0981,-0.172,-0.0358,-0.574,-0.0015
2nklcPJ3YhYJfC2ibStXz91q4Mij0p95VPDECvsNriL3,-0.101,-3.92,0.0148,-0.065,0.046,-0.478,0.0681
2nklcPJ3YhYJfC2ibStXz92h3mSbMJ2gvD6i5AdBMjcp,0.195,-10.885,0.0412,-0.209,-0.0149,-0.295,0.0185
2nklcPJ3YhYJfC2ibStXz93NFNsY0ygNg8V4JWCVzkuO,0.195,-10.885,0.0412,-0.209,-0.0149,-0.295,0.0185
2nklcPJ3YhYJfC2ibStXz93J095OZ1yoYVsxeD4BnUqf,0.17,-3.223,0.0414,-0.165,-0.0165,-0.186,0.0077
2nklcPJ3YhYJfC2ibStXz95MKqzTSr2laXT2Cm0W5m3z,0.114,-12.191,0.0287,-0.197,-0.0215,-0.189,0.0081
2nklcPJ3YhYJfC2ibStXz92iNNq1ooxQyNAuQRsd6aeU,0.151,-7.32,0.0811,-0.236,-0.0347,-0.387,0.0362
2nklcPJ3YhYJfC2ibStXz90SLk2ymKTKDN2O9UbdG7IO,0.206,-8.648,0.0182,-0.263,-0.0381,-0.471,0.0824
2nklcPJ3YhYJfC2ibStXz92dkO2xnnt8f21HnOOoQ11r,0.104,-14.668,0.0234,-0.251,0.7074,-0.367,0.259
2nklcPJ3YhYJfC2ibStXz92pn4dBKnQemqTcJJw1u2aR,0.15,-12.769,0.049,-0.225,0.0023,-0.351,0.0891
2nklcPJ3YhYJfC2ibStXz93tvJVlOfV31t478p1n6FZk,-0.263,-0.146,0.0047,-0.1,-0.0386,-0.377,0.77
2nklcPJ3YhYJfC2ibStXz91o2waYkqMs9q93uBOhrwAX,0.052,-10.933,0.0145,-0.171,0.0135,-0.408,0.0016
2nklcPJ3YhYJfC2ibStXz970hu323op2iBuGCuDZf2vz,0.046,-11.95,0.0294,-0.22,0.2834,-0.331,-0.0019
2nklcPJ3YhYJfC2ibStXz91ZANPDdiSYUQ9cugRoOetb,0.165,-18.687,0.1531,-0.269,-0.0346,-0.434,-0.0009
