album_name_live,track_name_studio,artist_name_studio,track_key,difference_energy,difference_tempo,difference_speechiness,difference_dance,difference_instrumentalness,difference_valence,difference_acousticness
Living In Clip,32 Flavors,Ani DiFranco,6oipWwDsUB0XCoZfZeRBvW5wu15zxO2EANgp5o4D4k6a,-0.248,17.628,-0.0239,-0.112,-0.0125,-0.022,0.554
So Much Shouting So Much Laughing,32 Flavors,Ani DiFranco,6oipWwDsUB0XCoZfZeRBvW23tryMqDojI0Ki8savw3aI,0.097,7.416,-0.0132,0.242,0.0078,0.56,0.207
Living In Clip,Adam and Eve,Ani DiFranco,5VsnTF82gYUCL45RAIiZ2b4BVX9qqLlrKxmFtyGfevIN,0.0531,-3.294,-0.0017,-0.037,0.0057,0.0723,-0.162
So Much Shouting So Much Laughing,Ain’t That the Way,Ani DiFranco,4XHNjBFbhwR2bPifJjzlW17DQ2qWneuA4BnllCvei4Nf,0.199,94.505,0.128,-0.245,-0.0133,-0.054,-0.45
Living In Clip,Amazing Grace,Ani DiFranco,21YSagcmCqR28GV8NxBMHc4c11wlavT3E8z1PpdBM6C6,0.082,13.855,-0.0777,-0.306,0.0281,-0.359,-0.1613
Living In Clip,Anticipate,Ani DiFranco,5AHxvIZBZCUDdAUMLAbLj61VgYNfTRTNHHtRgzrGSjnU,0.214,-24.838,0.036,-0.057,8.57e-06,-0.139,-0.475
Living In Clip,Anticipate - No Walls Mixtape,Ani DiFranco,6MiF5MPYTZ1GY3cU43tYq61VgYNfTRTNHHtRgzrGSjnU,-0.18,-52.874,0.088,-0.105,-0.0176,-0.234,-0.532
Living In Clip,Both Hands,Ani DiFranco,4FJsFAdLFGqrmuM74CIzhs3yz7UNhnF7jIwdWMFQoUNt,0.122,0.384,-0.0254,-0.403,0.0156,-0.074,-0.018
So Much Shouting So Much Laughing,Cradle and All,Ani DiFranco,5Y7dKrLuMZADSbq7BjhtwO2JbNmNtMVkhhAOVJmEkXdY,0.169,-5.814,0.026,0.063,-0.0146,0.081,-0.23
So Much Shouting So Much Laughing,Dilate,Ani DiFranco,5ptYOK56DFsTJ7Nazk4BRv7rT5fSWT3TFZMBEQmn43Bk,-0.048,89.424,-0.0749,0.078,-0.0001,0.0366,0.0741
So Much Shouting So Much Laughing,Dilate - No Walls Mixtape,Ani DiFranco,4lkKZR0CVhOPHLyhkwagfd7rT5fSWT3TFZMBEQmn43Bk,-0.093,-4.482,0.0216,-0.077,-0.0004,-0.027,-0.474
Living In Clip,Distracted,Ani DiFranco,6cGy4kYQuKpMM60TyHH7nz1LJ9f3oys6ESilBMMVMgNS,-0.007,-6.851,0.009,-0.098,0.0,-0.057,0.029
Living In Clip,Every State Line,Ani DiFranco,2HJFvUWKTSB8JUCLTdpFrR45zHbt1fMBoRLuLwtz7o99,0.125,-17.692,-0.7337,-0.166,4.99e-06,-0.13,-0.164
Living In Clip,Every State Line - No Walls Mixtape,Ani DiFranco,0T1Q3N0FH3IHecwBsaWtTV45zHbt1fMBoRLuLwtz7o99,-0.101,-9.381,-0.3707,-0.29,4.99e-06,-0.364,-0.095
Living In Clip,Fire Door,Ani DiFranco,6O1eoFDJBkwZ1VNcTN3Cay1zgOuflKpOAPTu9Ga6VJ2Z,0.5673,12.026,-0.097,0.024,0.0524,0.095,-0.639
So Much Shouting So Much Laughing,Gratitude,Ani DiFranco,0PMFa39oZsrpeOYLe6NEtr5gHfLv8Xnth87pq7u6MRle,0.179,6.124,-0.0115,-0.095,0.0014,-0.156,-0.154
So Much Shouting So Much Laughing,Gratitude - No Walls Mixtape,Ani DiFranco,1OF6xl0u5S8dq8jlyUAQLG5gHfLv8Xnth87pq7u6MRle,-0.074,3.838,-0.0032,-0.31,-0.0004,-0.313,-0.311
Living In Clip,Gravel,Ani DiFranco,7LjFcq4C2NGlXrSadUma792rFmj1PY792SoPbIdGsqfk,0.049,-5.537,-0.0824,-0.134,0.0,-0.342,-0.2586
So Much Shouting So Much Laughing,Grey,Ani DiFranco,2NVsZGu1472jZGL0qZB3Ny4EXJd5ljIBB0MeuLxGoTd4,0.2509,46.182,-0.0021,-0.033,0.1264,-0.0016,-0.247
So Much Shouting So Much Laughing,Grey - No Walls Mixtape,Ani DiFranco,3R8lLsjaPoti6UlmV2GPfS4EXJd5ljIBB0MeuLxGoTd4,-0.043,-6.171,-0.0012,-0.069,0.1257,-0.1595,-0.339
Living In Clip,I'm No Heroine,Ani DiFranco,1adbS4O1niPAEhQzuEu5J25y001ZHpPg3Vjowf0Fy80D,0.052,12.323,0.0819,-0.039,0.0,0.094,-0.126
Living In Clip,In or Out,Ani DiFranco,6aZ30pFvwiEelirZjzFrec1fqRQzg55sFRkipqobmqvK,0.219,-1.709,-0.047,-0.155,0.116,-0.1,-0.4016
Living In Clip,Joyful Girl,Ani DiFranco,3874Ac5TPH544Zdh06na1X498PnsqLjAa8OgekQUktTi,-0.1301,58.93,-0.1772,-0.074,0.0,-0.078,0.201
So Much Shouting So Much Laughing,Jukebox,Ani DiFranco,4KDF1hWMnqjlzQPiSSOyAf3JEOCFBr1BUX7lNZ8jdGjp,0.185,-25.377,-0.022,-0.283,0.0087,-0.375,0.0167
Living In Clip,Letter to a John,Ani DiFranco,7qCU1BGUeMw09K9DdxXZOV4OCAEXpCR1mBMZBBgJzoIV,0.266,-71.73,-0.0593,0.083,0.039,0.306,-0.014
So Much Shouting So Much Laughing,My IQ,Ani DiFranco,5TcHNz4a9bNWkuYr6j3cuX18kttv09mqZsATC7rXI2dm,0.316,-58.804,0.06,0.16,0.0001,0.003,-0.819
Living In Clip,Napoleon,Ani DiFranco,7JFuQSjHY65h90ZdRn02Eu6sqaZjJYuI9TI0mdODnSLa,0.087,87.852,-0.0715,-0.023,5.75e-06,-0.007,0.351
So Much Shouting So Much Laughing,Napoleon,Ani DiFranco,7JFuQSjHY65h90ZdRn02Eu1rJZcY9kUnRJ1AtZOFDagS,0.173,79.212,0.042,-0.07,0.0064,-0.093,0.018
Living In Clip,Not So Soft,Ani DiFranco,39pSfP8fMhKzHlZJZQA0vX66KvqVK90iVAWNpTc43mem,-0.095,-9.53,-0.7623,0.068,0.142,0.245,0.398
So Much Shouting So Much Laughing,Not a Pretty Girl,Ani DiFranco,4pkQxuzzRyNzBmpQXztC3M5k6jboQ4TbfazyCyNxy4LL,0.157,-25.78,-0.0196,0.231,0.0006,0.295,0.237
So Much Shouting So Much Laughing,Not a Pretty Girl - No Walls Mixtape,Ani DiFranco,2SHYJ9EmTY7qS3PUIf5FkT5k6jboQ4TbfazyCyNxy4LL,0.191,1.135,0.0109,-0.063,-0.0319,-0.01,-0.443
Living In Clip,Out of Habit,Ani DiFranco,7lGyWajheYtP8sKUveGjHo3OHr3grLAQBRajEIn2gNic,0.272,-58.549,0.4086,-0.103,-7.99e-06,0.034,-0.346
Living In Clip,Out of Habit - No Walls Mixtape,Ani DiFranco,1GvLp6ZYqFUpL5jjViWodJ3OHr3grLAQBRajEIn2gNic,-0.086,-58.086,0.4097,-0.144,-0.0001,-0.158,-0.373
Living In Clip,Out of Range,Ani DiFranco,7ex5yazkaGs29dypNeP6BW5v3RcQMbdWPgD97oyiUQlo,-0.304,-2.175,-0.0585,0.054,-0.0004,0.1,-0.185
Living In Clip,Out of Range (Electric),Ani DiFranco,16oXjlIsDDwk78A06ABEi75v3RcQMbdWPgD97oyiUQlo,-0.178,4.738,0.04,-0.131,0.0001,-0.372,0.1649
Living In Clip,Overlap,Ani DiFranco,1WhZuGEyMHkYGAa04UqsD63UvGmt9jQmLjqxkR7wE7QA,0.114,57.82,0.1123,0.01,-0.0001,-0.118,-0.286
So Much Shouting So Much Laughing,Reckoning,Ani DiFranco,2kHK4PLfeUg3s8dmWiQKN35AquEmuSRxAIq26GyscGsy,0.0775,10.196,-0.0038,-0.02,-0.0005,0.0247,-0.065
So Much Shouting So Much Laughing,Revelling,Ani DiFranco,7yHVeXM6xN6nWKvvyKuxvz6WjtfoQQWe30wd9LuMsaWI,0.12,23.585,-0.0035,-0.03,0.0183,0.0159,-0.085
So Much Shouting So Much Laughing,Rock Paper Scissors,Ani DiFranco,5EQ2eFgKJtVffXdwpejnUk6pt8jHR4GEpmfgNmAspN3B,0.012,8.922,-0.0431,-0.094,-0.0245,0.231,-0.018
So Much Shouting So Much Laughing,Self Evident,Ani DiFranco,6I1P3GWjKbq54PBfJYXe4W1Furo59c21kyX8aw5ZRru5,-0.223,59.727,-0.4,-0.026,0.0,0.024,-0.123
Living In Clip,Shameless,Ani DiFranco,2wxgkTPRT6jBuLVAxo89033MqzrHNXBHogH6NHQ2fDlb,0.126,1.256,-0.1089,-0.204,-0.0605,0.153,0.0878
So Much Shouting So Much Laughing,Shrug,Ani DiFranco,0L36EUnswf1OQjmEuxJWbI4r4dmIjPCxtJG5nIMemU7l,-0.206,-3.359,-0.0051,0.115,0.0213,-0.077,0.384
Living In Clip,Shy,Ani DiFranco,55JAZodePCqoyXueneRnPT5E8HkUmXHle2xQ6CLtsU2A,0.184,2.657,-0.0342,-0.056,-0.0007,0.031,-0.066
Living In Clip,Sorry I Am,Ani DiFranco,7IhPlamSU4sc5WLReokQxy7Kmp7eljiv62IZp57CSrOd,-0.0169,68.754,-0.009,-0.109,0.0046,-0.205,-0.077
So Much Shouting So Much Laughing,Swan Dive,Ani DiFranco,6npEPLgNyJ4UzWyjSyH1KJ3CKPWOuEBXLn8jWsGtkIfb,0.036,12.961,0.0358,-0.035,0.0001,0.276,0.26
So Much Shouting So Much Laughing,Swan Dive - No Walls Mixtape,Ani DiFranco,0tgZCOxgu3DG9RmJ4CvbVD3CKPWOuEBXLn8jWsGtkIfb,-0.07,55.591,0.0293,0.045,-0.0393,0.089,-0.453
Living In Clip,Tip Toe,Ani DiFranco,5CzOjmWTvbFGlwLS972Ngh5VgFsarsBKioi28ncmtkjq,-0.137,31.699,-0.625,-0.246,0.0,0.013,0.217
So Much Shouting So Much Laughing,To The Teeth (Shootout Remix),Ani DiFranco,382zGDGUbJK1SMzXK3xucw7ptxR2dzwBc1R3kQqKvLAH,-0.086,-32.055,-0.0744,-0.295,-0.1725,-0.104,-0.1309
So Much Shouting So Much Laughing,To the Teeth,Ani DiFranco,4ZhtIgZ3rIXQnjdDns3I7v7ptxR2dzwBc1R3kQqKvLAH,0.078,15.184,0.0007,-0.068,-0.0001,0.043,-0.6249
So Much Shouting So Much Laughing,To the Teeth - No Walls Mixtape,Ani DiFranco,5ALdVXXmO7nHcjAWTEKNEL7ptxR2dzwBc1R3kQqKvLAH,-0.14,0.951,0.0014,-0.122,-0.1245,-0.089,-0.8939
