artist_name_studio,artist_id
Nena,453
Mudvayne,442
ISIS,262
Nektar,452
Prince,501
John Lodge,315
H.E.A.T,244
Dwight Yoakam,169
Marillion,406
Raphael Saadiq,514
The Cure,642
Electric Light Orchestra,178
Larry Carlton,360
The Ataris,620
Incubus,268
Indigo Girls,269
Gordon Lightfoot,235
L.A. Guns,355
Stray Cats,593
Birdy,59
Don McLean,162
Adrian Belew,7
Kim Wilde,344
After The Fire,9
Mr. Big,441
T.Love,606
Andy Pratt,28
Pretenders,500
Cage The Elephant,94
Rush,539
King Crimson,346
April Wine,30
Ian Hunter,264
EXO,170
The Marshall Tucker Band,672
Ian Gomm,263
Modern English,432
Johnny Cash,320
Chicago,105
Patti Smith,479
Kylie Minogue,354
Loudon Wainwright III,389
The White Stripes,707
Tony Joe White,722
Van Halen,740
Warrant,752
Dave Matthews Band,139
Jefferson Starship,289
Jefferson Airplane,288
The Lemonheads,670
Edwin McCain,175
Modest Mouse,433
John Mayer,316
The Alarm,619
"Crosby, Stills, Nash & Young",125
The Veronicas,703
Madonna,397
Bruce Springsteen,89
Paul Simon,484
O.A.R.,463
New Order,456
The Troggs,699
Roxette,535
Lisa Stansfield,374
Brian Setzer,85
Moby Grape,431
The Cult,641
Sum 41,596
TOTO,608
Jo Jo Gunne,303
Johnny Mathis,321
Dolly Parton,161
Trini Lopez,731
Barenaked Ladies,43
"Emerson, Lake & Palmer",183
Daryl Hall & John Oates,133
Clint Black,115
Harry Chapin,247
T.S.O.L.,607
Steve Forbert,588
Michael W. Smith,423
Deep Purple,149
The O'Jays,678
Sylvie Vartan,604
Julio Iglesias,333
Roger Whittaker,534
Gary Numan,220
"10,000 Maniacs",1
Quicksilver Messenger Service,504
Moby,430
Dr. Feelgood,165
Ultravox,737
Warren Zevon,753
Sweet,601
Link Wray,372
Solomon Burke,572
Jimmy Barnes,299
The Replacements,686
D.R.I.,129
Mahalia Jackson,400
"Hank Williams, Jr.",245
Bing Crosby,58
Oasis,466
Peter Gabriel,492
JEANS,273
The Kinks,667
Taking Back Sunday,609
Sarah McLachlan,544
Todd Rundgren,718
Coldplay,116
Blur,68
Kraftwerk,351
The Charlie Daniels Band,634
Randy Newman,513
George Benson,224
Sarah Vaughan,545
Tony Bennett,721
Ray Charles,516
Ike & Tina Turner,267
David Bowie,140
Miriam Makeba,429
Cerrone,101
Nina Simone,462
"Earth, Wind & Fire",171
Genesis,222
Avenged Sevenfold,36
Hillsong UNITED,254
J.J. Cale,272
Journey,330
Neil Young,451
Bill Champlin,54
Louis Armstrong,390
Status Quo,582
Dashboard Confessional,135
The Lettermen,671
Uriah Heep,738
John Farnham,311
Poco,499
Pink Floyd,496
Swans,600
Royal Philharmonic Orchestra,538
Simon & Garfunkel,560
America,24
Burt Bacharach,91
Scooter,548
Whitesnake,757
The Searchers,688
