album_name_live,track_name_studio,artist_name_studio,track_id.x,track_id.y,track_key
Living In Clip,32 Flavors,Ani DiFranco,6oipWwDsUB0XCoZfZeRBvW,5wu15zxO2EANgp5o4D4k6a,6oipWwDsUB0XCoZfZeRBvW5wu15zxO2EANgp5o4D4k6a
So Much Shouting So Much Laughing,32 Flavors,Ani DiFranco,6oipWwDsUB0XCoZfZeRBvW,23tryMqDojI0Ki8savw3aI,6oipWwDsUB0XCoZfZeRBvW23tryMqDojI0Ki8savw3aI
Living In Clip,Adam and Eve,Ani DiFranco,5VsnTF82gYUCL45RAIiZ2b,4BVX9qqLlrKxmFtyGfevIN,5VsnTF82gYUCL45RAIiZ2b4BVX9qqLlrKxmFtyGfevIN
So Much Shouting So Much Laughing,Ain’t That the Way,Ani DiFranco,4XHNjBFbhwR2bPifJjzlW1,7DQ2qWneuA4BnllCvei4Nf,4XHNjBFbhwR2bPifJjzlW17DQ2qWneuA4BnllCvei4Nf
Living In Clip,Amazing Grace,Ani DiFranco,21YSagcmCqR28GV8NxBMHc,4c11wlavT3E8z1PpdBM6C6,21YSagcmCqR28GV8NxBMHc4c11wlavT3E8z1PpdBM6C6
Living In Clip,Anticipate,Ani DiFranco,5AHxvIZBZCUDdAUMLAbLj6,1VgYNfTRTNHHtRgzrGSjnU,5AHxvIZBZCUDdAUMLAbLj61VgYNfTRTNHHtRgzrGSjnU
Living In Clip,Anticipate - No Walls Mixtape,Ani DiFranco,6MiF5MPYTZ1GY3cU43tYq6,1VgYNfTRTNHHtRgzrGSjnU,6MiF5MPYTZ1GY3cU43tYq61VgYNfTRTNHHtRgzrGSjnU
Living In Clip,Both Hands,Ani DiFranco,4FJsFAdLFGqrmuM74CIzhs,3yz7UNhnF7jIwdWMFQoUNt,4FJsFAdLFGqrmuM74CIzhs3yz7UNhnF7jIwdWMFQoUNt
So Much Shouting So Much Laughing,Cradle and All,Ani DiFranco,5Y7dKrLuMZADSbq7BjhtwO,2JbNmNtMVkhhAOVJmEkXdY,5Y7dKrLuMZADSbq7BjhtwO2JbNmNtMVkhhAOVJmEkXdY
So Much Shouting So Much Laughing,Dilate,Ani DiFranco,5ptYOK56DFsTJ7Nazk4BRv,7rT5fSWT3TFZMBEQmn43Bk,5ptYOK56DFsTJ7Nazk4BRv7rT5fSWT3TFZMBEQmn43Bk
So Much Shouting So Much Laughing,Dilate - No Walls Mixtape,Ani DiFranco,4lkKZR0CVhOPHLyhkwagfd,7rT5fSWT3TFZMBEQmn43Bk,4lkKZR0CVhOPHLyhkwagfd7rT5fSWT3TFZMBEQmn43Bk
Living In Clip,Distracted,Ani DiFranco,6cGy4kYQuKpMM60TyHH7nz,1LJ9f3oys6ESilBMMVMgNS,6cGy4kYQuKpMM60TyHH7nz1LJ9f3oys6ESilBMMVMgNS
Living In Clip,Every State Line,Ani DiFranco,2HJFvUWKTSB8JUCLTdpFrR,45zHbt1fMBoRLuLwtz7o99,2HJFvUWKTSB8JUCLTdpFrR45zHbt1fMBoRLuLwtz7o99
Living In Clip,Every State Line - No Walls Mixtape,Ani DiFranco,0T1Q3N0FH3IHecwBsaWtTV,45zHbt1fMBoRLuLwtz7o99,0T1Q3N0FH3IHecwBsaWtTV45zHbt1fMBoRLuLwtz7o99
Living In Clip,Fire Door,Ani DiFranco,6O1eoFDJBkwZ1VNcTN3Cay,1zgOuflKpOAPTu9Ga6VJ2Z,6O1eoFDJBkwZ1VNcTN3Cay1zgOuflKpOAPTu9Ga6VJ2Z
So Much Shouting So Much Laughing,Gratitude,Ani DiFranco,0PMFa39oZsrpeOYLe6NEtr,5gHfLv8Xnth87pq7u6MRle,0PMFa39oZsrpeOYLe6NEtr5gHfLv8Xnth87pq7u6MRle
So Much Shouting So Much Laughing,Gratitude - No Walls Mixtape,Ani DiFranco,1OF6xl0u5S8dq8jlyUAQLG,5gHfLv8Xnth87pq7u6MRle,1OF6xl0u5S8dq8jlyUAQLG5gHfLv8Xnth87pq7u6MRle
Living In Clip,Gravel,Ani DiFranco,7LjFcq4C2NGlXrSadUma79,2rFmj1PY792SoPbIdGsqfk,7LjFcq4C2NGlXrSadUma792rFmj1PY792SoPbIdGsqfk
So Much Shouting So Much Laughing,Grey,Ani DiFranco,2NVsZGu1472jZGL0qZB3Ny,4EXJd5ljIBB0MeuLxGoTd4,2NVsZGu1472jZGL0qZB3Ny4EXJd5ljIBB0MeuLxGoTd4
So Much Shouting So Much Laughing,Grey - No Walls Mixtape,Ani DiFranco,3R8lLsjaPoti6UlmV2GPfS,4EXJd5ljIBB0MeuLxGoTd4,3R8lLsjaPoti6UlmV2GPfS4EXJd5ljIBB0MeuLxGoTd4
Living In Clip,I'm No Heroine,Ani DiFranco,1adbS4O1niPAEhQzuEu5J2,5y001ZHpPg3Vjowf0Fy80D,1adbS4O1niPAEhQzuEu5J25y001ZHpPg3Vjowf0Fy80D
Living In Clip,In or Out,Ani DiFranco,6aZ30pFvwiEelirZjzFrec,1fqRQzg55sFRkipqobmqvK,6aZ30pFvwiEelirZjzFrec1fqRQzg55sFRkipqobmqvK
Living In Clip,Joyful Girl,Ani DiFranco,3874Ac5TPH544Zdh06na1X,498PnsqLjAa8OgekQUktTi,3874Ac5TPH544Zdh06na1X498PnsqLjAa8OgekQUktTi
So Much Shouting So Much Laughing,Jukebox,Ani DiFranco,4KDF1hWMnqjlzQPiSSOyAf,3JEOCFBr1BUX7lNZ8jdGjp,4KDF1hWMnqjlzQPiSSOyAf3JEOCFBr1BUX7lNZ8jdGjp
