artist_name_studio,artist_id
Nena,407
Nektar,406
Prince,449
Raphael Saadiq,460
Larry Carlton,321
Indigo Girls,243
Gordon Lightfoot,215
Stray Cats,532
After The Fire,8
King Crimson,310
April Wine,28
The Marshall Tucker Band,603
Ian Gomm,238
Chicago,96
The White Stripes,639
Mr. Big,396
Edwin McCain,160
The Alarm,551
The Veronicas,635
Bruce Springsteen,80
Paul Simon,433
Jo Jo Gunne,274
Johnny Mathis,289
Dolly Parton,146
Trini Lopez,663
"Emerson, Lake & Palmer",167
Cage The Elephant,86
Clint Black,105
Harry Chapin,223
Steve Forbert,528
O.A.R.,415
Deep Purple,135
Roger Whittaker,481
Gary Numan,201
Warren Zevon,681
The Replacements,618
Marillion,365
Bing Crosby,54
Oasis,417
Sweet,538
Sarah McLachlan,490
Todd Rundgren,652
Coldplay,106
The Charlie Daniels Band,566
Randy Newman,459
Sarah Vaughan,491
Tony Bennett,655
Ray Charles,462
Jimmy Barnes,271
Avenged Sevenfold,33
Hillsong UNITED,230
Journey,298
Neil Young,405
Modern English,388
Louis Armstrong,350
Dashboard Confessional,122
John Farnham,280
Michael W. Smith,381
Poco,446
America,22
The Searchers,620
Chaka Khan,93
Leonard Cohen,328
Jane's Addiction,254
Aretha Franklin,29
Thomas Dolby,647
Leon Redbone,327
Nazareth,404
The Kinks,598
Robin Trower,479
Burt Bacharach,83
Dionne Warwick,141
Atlanta Rhythm Section,32
Erasure,170
Dave Mason,124
Jimi Hendrix,270
The Nashville Teens,607
Lisa Stansfield,335
Fats Domino,184
Alison Moyet,18
Tina Arena,650
Ultravox,667
Sister Hazel,507
Triumph,664
The Everly Brothers,581
Bonnie Tyler,71
OK Go,416
Peter Frampton,439
Karla Bonoff,302
Cliff Richard,103
Peter Murphy,441
Willie Nelson,687
Air Supply,10
Elvis Presley,166
The Chambers Brothers,565
Jesus Jones,267
David Essex,129
The Whispers,638
Mott The Hoople,394
Les Compagnons De La Chanson,329
Grateful Dead,218
Miriam Makeba,386
Waylon Jennings,682
Judy Collins,300
John Denver,279
Joni Mitchell,295
Daryle Singletary,121
Yes,690
The Cult,573
Don McLean,147
The Korgis,600
The Guess Who,590
Pure Prairie League,451
Gallagher And Lyle,198
Jerry Reed,264
Canned Heat,88
Laura Nyro,323
Jon Secada,293
The Jeff Healey Band,596
The Glitter Band,588
Richard Marx,467
The Seekers,621
The Bangles,554
Our Lady Peace,422
The Brian Setzer Orchestra,560
Loggins & Messina,340
Incubus,242
Graham Parker,217
Barenaked Ladies,40
Los Lobos,345
Matt Nathanson,371
Shakira,498
The Troggs,632
Eric Clapton,171
The Ventures,634
Depeche Mode,140
The Belle Stars,556
Jethro Tull,268
Chilliwack,98
The Zombies,645
J.J. Cale,245
Procol Harum,450
Janis Joplin,256
Manfred Mann's Earth Band,360
Donovan,149
Johnny Cash,288
Marianne Faithfull,364
Tony Joe White,656
Go West,212
Sha Na Na,497
Falco,182
Kraftwerk,314
Andy Pratt,26
The Hollies,592
King Curtis,311
Cristian Castro,113
Carla Thomas,90
Blackfoot,58
Nicolette Larson,412
The Grass Roots,589
The Shirelles,623
Rod Stewart,480
Faster Pussycat,183
Mother's Finest,393
Bow Wow Wow,73
Ted Nugent,546
Conway Twitty,108
T. Rex,541
Golden Earring,213
The Babys,553
All Time Low,19
Jimmy Somerville,273
John Mayer,284
Long John Baldry,342
Twisted Sister,665
Daniel Powter,120
The Flaming Lips,585
Adrian Belew,6
Lita Ford,336
Johnny Otis,290
John Fogerty,281
The Byrds,563
Madness,356
The Trashmen,631
Modest Mouse,389
Jan & Dean,253
The Dave Brubeck Quartet,575
Voice Of The Beehive,676
Carole King,91
The Youngbloods,644
Paul Carrack,430
Loudon Wainwright III,349
Midge Ure,384
Soft Cell,515
Blur,63
"Earth, Wind & Fire",156
Freddy Fender,196
Men At Work,377
Gavin DeGraw,202
Dave Matthews Band,125
Natalie Merchant,402
Lou Reed,348
Van Halen,670
Judas Priest,299
Collective Soul,107
Kylie Minogue,317
The Isley Brothers,594
Uriah Heep,668
Lou Christie,347
Rick Derringer,469
Merle Haggard,378
Boots Randolph,72
George Jones,206
The Highwaymen,591
Billy Joel,52
Peter Gabriel,440
Kris Kristofferson,315
Jerry Garcia,261
L.A. Guns,318
Paul Young,434
