track_name_short,artist_name_studio,album_name_studio,track_preview_url_studio,track_name_studio,livemarker.x,album_images_studio,energy_studio,dance_studio,acousticness_studio,valence_studio,instrumentalness_studio,speechiness_studio,tempo_studio,duration_studio,liveness_studio,artist_name_live,album_name_live,track_preview_url_live,track_name_live,livemarker.y,album_images_live,energy_live,dance_live,acousticness_live,valence_live,instrumentalness_live,speechiness_live,tempo_live,duration_live,liveness_live,difference_energy,difference_dance,difference_acousticness,difference_valence,difference_instrumentalness,difference_speechiness,difference_tempo,difference_duration,difference_liveness,match
ACertainShadeofGreen,Incubus,S.C.I.E.N.C.E.,https://p.scdn.co/mp3-preview/258b993a0c5dc844bdddbffc2ca2946684602428?cid=57a57fe2e5b44b2bab703613bb86725e,A Certain Shade of Green,studio,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27355e734bb400d8c827700541b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0255e734bb400d8c827700541b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485155e734bb400d8c827700541b', 'width': 64}]",0.978,0.429,0.0002,0.43,6.81e-06,0.126,121.651,191360,0.058300000000000005,Incubus,Live In Sweden 2004,https://p.scdn.co/mp3-preview/0166a2008f8f3cfe7432378c7173cae6e7550e61?cid=57a57fe2e5b44b2bab703613bb86725e,"A Certain Shade of Green - Live at Annexet, Stockholm, Sweden - April 2004",live,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731ce983e05d813216f6d5c7d9', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e021ce983e05d813216f6d5c7d9', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048511ce983e05d813216f6d5c7d9', 'width': 64}]",0.917,0.374,0.016300000000000002,0.326,0.007500000000000001,0.219,122.154,308800,0.342,-0.061,-0.055,0.0161,-0.10400000000000001,0.007500000000000001,0.093,0.503,117440,0.2837,1
ACertainShadeofGreen,Incubus,S.C.I.E.N.C.E.,https://p.scdn.co/mp3-preview/258b993a0c5dc844bdddbffc2ca2946684602428?cid=57a57fe2e5b44b2bab703613bb86725e,A Certain Shade of Green,studio,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27355e734bb400d8c827700541b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0255e734bb400d8c827700541b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485155e734bb400d8c827700541b', 'width': 64}]",0.978,0.429,0.0002,0.43,6.81e-06,0.126,121.651,191360,0.058300000000000005,Incubus,Live in Malaysia 2004,https://p.scdn.co/mp3-preview/32a780a5dd137be89909e9ce320e5d447d9993c3?cid=57a57fe2e5b44b2bab703613bb86725e,"A Certain Shade of Green - Live at Bukit Kiara Equestarian Park, Kuala Lumpur, Malaysia - March 2004",live,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ccc5220f73a5fe9f2e4e6eaf', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02ccc5220f73a5fe9f2e4e6eaf', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851ccc5220f73a5fe9f2e4e6eaf', 'width': 64}]",0.903,0.395,0.0671,0.23800000000000002,0.0029000000000000002,0.35000000000000003,122.392,325333,0.17400000000000002,-0.075,-0.034,0.0669,-0.192,0.0029000000000000002,0.224,0.741,133973,0.11570000000000001,1
ACertainShadeofGreen,Incubus,S.C.I.E.N.C.E.,https://p.scdn.co/mp3-preview/258b993a0c5dc844bdddbffc2ca2946684602428?cid=57a57fe2e5b44b2bab703613bb86725e,A Certain Shade of Green,studio,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27355e734bb400d8c827700541b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0255e734bb400d8c827700541b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485155e734bb400d8c827700541b', 'width': 64}]",0.978,0.429,0.0002,0.43,6.81e-06,0.126,121.651,191360,0.058300000000000005,Incubus,Live in Japan 2004,https://p.scdn.co/mp3-preview/1ac8ca56d8b085cb509ccd77796f55192b7d93a5?cid=57a57fe2e5b44b2bab703613bb86725e,"A Certain Shade of Green - Live at Nippon Budokan, Tokyo, Japan - March 2004",live,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27309ad361056b40ee776a5df0e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0209ad361056b40ee776a5df0e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485109ad361056b40ee776a5df0e', 'width': 64}]",0.834,0.439,0.0064,0.47300000000000003,0.0018000000000000002,0.266,121.002,367400,0.254,-0.14400000000000002,0.01,0.006200000000000001,0.043000000000000003,0.0018000000000000002,0.14,-0.649,176040,0.1957,1
ACrowLeftoftheMurder,Incubus,A Crow Left Of The Murder...,https://p.scdn.co/mp3-preview/d36da3781d66fd923e885db9ee3bf45fb355d176?cid=57a57fe2e5b44b2bab703613bb86725e,A Crow Left of the Murder,studio,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f485a27298fbd17d868f7565', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f485a27298fbd17d868f7565', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f485a27298fbd17d868f7565', 'width': 64}]",0.893,0.385,0.018000000000000002,0.556,0.0006000000000000001,0.0386,180.39,210866,0.125,Incubus,Live in Japan 2004,https://p.scdn.co/mp3-preview/46d6ddec9468155630053ce568d5a58aa89469d4?cid=57a57fe2e5b44b2bab703613bb86725e,"A Crow Left of the Murder - Live at Nippon Budokan, Tokyo, Japan - March 2004",live,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27309ad361056b40ee776a5df0e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0209ad361056b40ee776a5df0e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485109ad361056b40ee776a5df0e', 'width': 64}]",0.982,0.202,0.0863,0.179,0.0004,0.227,178.504,227733,0.972,0.089,-0.183,0.0683,-0.377,-0.0001,0.1884,-1.8860000000000001,16867,0.847,1
ACrowLeftoftheMurder,Incubus,A Crow Left Of The Murder...,https://p.scdn.co/mp3-preview/d36da3781d66fd923e885db9ee3bf45fb355d176?cid=57a57fe2e5b44b2bab703613bb86725e,A Crow Left of the Murder,studio,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f485a27298fbd17d868f7565', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f485a27298fbd17d868f7565', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f485a27298fbd17d868f7565', 'width': 64}]",0.893,0.385,0.018000000000000002,0.556,0.0006000000000000001,0.0386,180.39,210866,0.125,Incubus,Live in Malaysia 2004,https://p.scdn.co/mp3-preview/27c951ba156ecb37ef6366caefb064efec8f0347?cid=57a57fe2e5b44b2bab703613bb86725e,"A Crow Left of the Murder - Live at Bukit Kiara Equestarian Park, Kuala Lumpur, Malaysia - March 2004",live,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ccc5220f73a5fe9f2e4e6eaf', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02ccc5220f73a5fe9f2e4e6eaf', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851ccc5220f73a5fe9f2e4e6eaf', 'width': 64}]",0.9530000000000001,0.289,0.107,0.22,0.0132,0.128,89.142,222733,0.764,0.06,-0.096,0.089,-0.336,0.0126,0.08940000000000001,-91.248,11867,0.639,1
ACrowLeftoftheMurder,Incubus,A Crow Left Of The Murder...,https://p.scdn.co/mp3-preview/d36da3781d66fd923e885db9ee3bf45fb355d176?cid=57a57fe2e5b44b2bab703613bb86725e,A Crow Left of the Murder,studio,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f485a27298fbd17d868f7565', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f485a27298fbd17d868f7565', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f485a27298fbd17d868f7565', 'width': 64}]",0.893,0.385,0.018000000000000002,0.556,0.0006000000000000001,0.0386,180.39,210866,0.125,Incubus,Live In Sweden 2004,https://p.scdn.co/mp3-preview/1da200566b66d70de4f8ce29b7f5ab0c4fe57e17?cid=57a57fe2e5b44b2bab703613bb86725e,"A Crow Left of the Murder - Live at Annexet, Stockholm, Sweden - April 2004",live,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731ce983e05d813216f6d5c7d9', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e021ce983e05d813216f6d5c7d9', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048511ce983e05d813216f6d5c7d9', 'width': 64}]",0.974,0.265,0.128,0.113,0.10300000000000001,0.10400000000000001,89.65,234533,0.352,0.081,-0.12,0.11,-0.443,0.1024,0.0654,-90.74,23667,0.227,1
Adolescents,Incubus,"If Not Now, When?",https://p.scdn.co/mp3-preview/a46673e3d98bfb19a1c9947e61174da09196c1b4?cid=57a57fe2e5b44b2bab703613bb86725e,Adolescents,studio,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273608b7c67166e304b14c85c5c', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02608b7c67166e304b14c85c5c', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851608b7c67166e304b14c85c5c', 'width': 64}]",0.758,0.525,0.0567,0.386,0.0026000000000000003,0.0323,159.996,288840,0.0944,Incubus,Incubus HQ Live Deluxe Edition,https://p.scdn.co/mp3-preview/2934cd103424f40e6168b120abdb1b1168ecdddd?cid=57a57fe2e5b44b2bab703613bb86725e,"Adolescents - Live at HQ, Los Angeles, CA - June/July 2011",live,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273839f76bf21071c2838845938', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02839f76bf21071c2838845938', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851839f76bf21071c2838845938', 'width': 64}]",0.8220000000000001,0.468,0.0046,0.366,0.0025,0.0364,159.964,306693,0.9500000000000001,0.064,-0.057,-0.0521,-0.02,-0.0002,0.0041,-0.032,17853,0.8556,1
Adolescents,Incubus,"If Not Now, When?",https://p.scdn.co/mp3-preview/a46673e3d98bfb19a1c9947e61174da09196c1b4?cid=57a57fe2e5b44b2bab703613bb86725e,Adolescents,studio,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273608b7c67166e304b14c85c5c', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02608b7c67166e304b14c85c5c', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851608b7c67166e304b14c85c5c', 'width': 64}]",0.758,0.525,0.0567,0.386,0.0026000000000000003,0.0323,159.996,288840,0.0944,Incubus,Incubus HQ Live,https://p.scdn.co/mp3-preview/6ee8b3ad4fc72f1a6564cd1232d27254ff08399e?cid=57a57fe2e5b44b2bab703613bb86725e,"Adolescents - Live at HQ, Los Angeles, CA - June/July 2011",live,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734c47e0156b767ed288862715', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e024c47e0156b767ed288862715', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048514c47e0156b767ed288862715', 'width': 64}]",0.833,0.337,0.0047,0.363,0.0032,0.0449,160.117,304666,0.961,0.075,-0.188,-0.052000000000000005,-0.023,0.0005,0.0126,0.121,15826,0.8666,1
Africano,"Earth, Wind & Fire",That's The Way Of The World,https://p.scdn.co/mp3-preview/85e59821b713590bc460310e452c2e66f53f585c?cid=57a57fe2e5b44b2bab703613bb86725e,Africano,studio,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27301b45a5b424a248f9fe1c0a2', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0201b45a5b424a248f9fe1c0a2', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485101b45a5b424a248f9fe1c0a2', 'width': 64}]",0.629,0.537,0.387,0.5720000000000001,0.636,0.0557,131.712,309373,0.386,"Earth, Wind & Fire","EARTH, WIND & FIRE LIVE IN VELFARRE",https://p.scdn.co/mp3-preview/3aee65692921932c388b622ed8d6c4302287a983?cid=57a57fe2e5b44b2bab703613bb86725e,"Africano - EARTH, WIND & FIRE LIVE IN VELFARRE_1995.4.20",live,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6c7c80afc34dd1367a6ade2', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c6c7c80afc34dd1367a6ade2', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c6c7c80afc34dd1367a6ade2', 'width': 64}]",0.895,0.334,0.0032,0.191,0.859,0.0922,78.338,354133,0.916,0.266,-0.203,-0.38380000000000003,-0.381,0.223,0.036500000000000005,-53.374,44760,0.53,1
Africano,"Earth, Wind & Fire",That's The Way Of The World,https://p.scdn.co/mp3-preview/6835baf1ae72f0c9a4043141f8de03716e296b49?cid=57a57fe2e5b44b2bab703613bb86725e,Africano,studio,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27330bb42e5271f2e046fd36972', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0230bb42e5271f2e046fd36972', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485130bb42e5271f2e046fd36972', 'width': 64}]",0.5640000000000001,0.535,0.28600000000000003,0.549,0.631,0.058300000000000005,131.972,309266,0.4,"Earth, Wind & Fire","EARTH, WIND & FIRE LIVE IN VELFARRE",https://p.scdn.co/mp3-preview/3aee65692921932c388b622ed8d6c4302287a983?cid=57a57fe2e5b44b2bab703613bb86725e,"Africano - EARTH, WIND & FIRE LIVE IN VELFARRE_1995.4.20",live,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6c7c80afc34dd1367a6ade2', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c6c7c80afc34dd1367a6ade2', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c6c7c80afc34dd1367a6ade2', 'width': 64}]",0.895,0.334,0.0032,0.191,0.859,0.0922,78.338,354133,0.916,0.331,-0.201,-0.2828,-0.358,0.228,0.0339,-53.634,44867,0.516,1
